SURF,KVD,STAR,HARRIS3D,GFTT,FAST,SIFT3D,SIFT,HARRIS6D,DENSE,NARF,ORB,MSER
0.16700000000000001,0.090999999999999998,0.017999999999999999,0.47299999999999998,0.111,0.20799999999999999,0.23599999999999999,0.042000000000000003,0.29999999999999999,0.222,0.47099999999999997,0.067000000000000004,0.036999999999999998
0.14899999999999999,0.085999999999999993,0.029000000000000001,0.47299999999999998,0.11899999999999999,0.20799999999999999,0.245,0.028000000000000001,0.29999999999999999,0.223,0.46899999999999997,0.095000000000000001,0.085000000000000006
0.159,0.050999999999999997,0.027,0.46700000000000003,0.128,0.22900000000000001,0.22900000000000001,0.025999999999999999,0.28699999999999998,0.224,0.437,0.10100000000000001,0.072999999999999995
0.14999999999999999,0.048000000000000001,0.016,0.374,0.115,0.26400000000000001,0.23599999999999999,0.035000000000000003,0.29399999999999998,0.23300000000000001,0.441,0.095000000000000001,0.049000000000000002
0.14699999999999999,0.10000000000000001,0.014999999999999999,0.46100000000000002,0.11899999999999999,0.26400000000000001,0.22,0.031,0.255,0.224,0.47099999999999997,0.106,0.085000000000000006
0.159,0.10199999999999999,0.029999999999999999,0.439,0.098000000000000004,0.23799999999999999,0.23300000000000001,0.032000000000000001,0.27200000000000002,0.185,0.47399999999999998,0.106,0.049000000000000002
0.154,0.047,0.016,0.45000000000000001,0.111,0.22800000000000001,0.26900000000000002,0.025000000000000001,0.29499999999999998,0.29999999999999999,0.45200000000000001,0.088999999999999996,0.049000000000000002
0.152,0.048000000000000001,0.017000000000000001,0.434,0.123,0.246,0.24099999999999999,0.058000000000000003,0.28299999999999997,0.17899999999999999,0.40600000000000003,0.088999999999999996,0.036999999999999998
0.17000000000000001,0.078,0.016,0.46600000000000003,0.13200000000000001,0.22800000000000001,0.25700000000000001,0.025000000000000001,0.25800000000000001,0.183,0.41699999999999998,0.112,0.049000000000000002
0.17199999999999999,0.063,0.0,0.436,0.11899999999999999,0.224,0.255,0.023,0.28999999999999998,0.16900000000000001,0.42199999999999999,0.088999999999999996,0.049000000000000002
0.089999999999999997,0.113,0.068000000000000005,0.375,0.075999999999999998,0.21299999999999999,0.215,0.042000000000000003,0.314,0.33400000000000002,0.28399999999999997,0.047,0.024
0.091999999999999998,0.11899999999999999,0.056000000000000001,0.36799999999999999,0.075999999999999998,0.22500000000000001,0.23799999999999999,0.043999999999999997,0.31900000000000001,0.317,0.309,0.062,0.0
0.085999999999999993,0.125,0.068000000000000005,0.36199999999999999,0.082000000000000003,0.221,0.23300000000000001,0.029000000000000001,0.245,0.28799999999999998,0.29199999999999998,0.042999999999999997,0.024
0.065000000000000002,0.087999999999999995,0.068000000000000005,0.39000000000000001,0.091999999999999998,0.221,0.23100000000000001,0.045999999999999999,0.23000000000000001,0.38300000000000001,0.308,0.089999999999999997,0.024
0.091999999999999998,0.11899999999999999,0.085999999999999993,0.38200000000000001,0.081000000000000003,0.22500000000000001,0.187,0.047,0.255,0.33200000000000002,0.315,0.062,0.070999999999999994
0.075999999999999998,0.105,0.052999999999999999,0.41299999999999998,0.098000000000000004,0.23699999999999999,0.23100000000000001,0.048000000000000001,0.27900000000000003,0.33000000000000002,0.312,0.085000000000000006,0.035999999999999997
0.083000000000000004,0.098000000000000004,0.041000000000000002,0.38200000000000001,0.081000000000000003,0.22900000000000001,0.223,0.052999999999999999,0.30499999999999999,0.33100000000000002,0.307,0.057000000000000002,0.035999999999999997
0.078,0.14000000000000001,0.066000000000000003,0.34599999999999997,0.083000000000000004,0.221,0.23799999999999999,0.055,0.29599999999999999,0.33400000000000002,0.27800000000000002,0.075999999999999998,0.035999999999999997
0.095000000000000001,0.070000000000000007,0.041000000000000002,0.39800000000000002,0.071999999999999995,0.23699999999999999,0.215,0.051999999999999998,0.29099999999999998,0.33200000000000002,0.28699999999999998,0.062,0.048000000000000001
