SURF,KVD,STAR,HARRIS3D,GFTT,FAST,SIFT3D,SIFT,HARRIS6D,DENSE,NARF,ORB,MSER
0.81599999999999995,0.75800000000000001,0.72899999999999998,0.56999999999999995,0.67800000000000005,0.84299999999999997,0.69899999999999995,0.59799999999999998,0.58999999999999997,0.71999999999999997,0.66000000000000003,0.69299999999999995,0.53300000000000003
0.74399999999999999,0.69499999999999995,0.61499999999999999,0.54900000000000004,0.48399999999999999,0.81200000000000006,0.61599999999999999,0.39400000000000002,0.505,0.42399999999999999,0.63900000000000001,0.72399999999999998,0.434
0.68100000000000005,0.64100000000000001,0.54000000000000004,0.53600000000000003,0.47199999999999998,0.76800000000000002,0.63300000000000001,0.33100000000000002,0.503,0.32800000000000001,0.60899999999999999,0.59699999999999998,0.377
0.41199999999999998,0.53100000000000003,0.28999999999999998,0.433,0.434,0.67000000000000004,0.54500000000000004,0.247,0.46300000000000002,0.38600000000000001,0.57299999999999995,0.505,0.23799999999999999
0.41699999999999998,0.495,0.27900000000000003,0.45500000000000002,0.39800000000000002,0.58499999999999996,0.51700000000000002,0.223,0.45700000000000002,0.40699999999999997,0.54900000000000004,0.51100000000000001,0.19700000000000001
0.372,0.46899999999999997,0.251,0.39100000000000001,0.35099999999999998,0.56699999999999995,0.48899999999999999,0.158,0.46300000000000002,0.33800000000000002,0.52700000000000002,0.46899999999999997,0.14799999999999999
0.36799999999999999,0.435,0.214,0.373,0.33400000000000002,0.55600000000000005,0.42999999999999999,0.13500000000000001,0.39300000000000002,0.36799999999999999,0.50900000000000001,0.441,0.189
0.33800000000000002,0.42199999999999999,0.19800000000000001,0.40000000000000002,0.27200000000000002,0.53700000000000003,0.45500000000000002,0.20300000000000001,0.41499999999999998,0.36399999999999999,0.50700000000000001,0.44500000000000001,0.156
0.33100000000000002,0.39800000000000002,0.20000000000000001,0.44500000000000001,0.27500000000000002,0.501,0.42299999999999999,0.218,0.36699999999999999,0.35399999999999998,0.48099999999999998,0.44400000000000001,0.14799999999999999
0.31900000000000001,0.375,0.19,0.436,0.29899999999999999,0.501,0.40799999999999997,0.21199999999999999,0.31900000000000001,0.35699999999999998,0.48899999999999999,0.38900000000000001,0.156
0.34300000000000003,0.35199999999999998,0.22,0.36399999999999999,0.26300000000000001,0.46000000000000002,0.39500000000000002,0.216,0.36199999999999999,0.36199999999999999,0.48999999999999999,0.41899999999999998,0.123
